Id,Title,Description,Type,TypeName,CreatedDate,CreatedOnTimeDiff,DeviceName,DeviceUrl,DeviceType,IsAllowComment,HasThitCay,TotalViews,TotalPictures,AvgRating,Video,Hashtags,Pictures,Restaurant,Owner,Options,Url,UserLikes,TotalLike,TotalComment,IsLiked,CanDelete,CanEdit,ResId,TotalView,IsDraft,IsFirstUserReview,Comments,IsDirectDetail,EditUrl,source_system,restaurant_id_query,city_query,total_reviews_api,crawl_timestamp
17662810,Gà Chỉ Sáu Cao,"Món gà này nhà mình ăn nhiều lắm vì vị quá ngon , giá hợp lý",1,đã bình luận,/Date(1687660019233)/,25/06/2023,Android,/ung-dung-mobile,2,True,False,218,0,5.0,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '17', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 1015545539, 'Username': None, 'DisplayName': 'Mai Thị Hằng', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_baid9z8w', 'TotalReviews': 17, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_baid9z8w/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17662810,[],0,0,False,False,False,272138,218,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17662005,Gà Chỉ Sáu Cao,Tuyệt vời lăm,1,đã bình luận,/Date(1687605453727)/,24/06/2023,Android,/ung-dung-mobile,2,True,False,227,0,5.0,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '15', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46287697, 'Username': None, 'DisplayName': 'bông nguyễn', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_6mh3xenr', 'TotalReviews': 15, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_6mh3xenr/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17662005,[],0,0,False,False,False,272138,227,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661897,Gà Chỉ Sáu Cao,Ga da giòn ngọt thịt,1,đã bình luận,/Date(1687603904633)/,24/06/2023,iPhone,/ung-dung-mobile,1,True,False,222,0,5.0,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '21', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46287273, 'Username': None, 'DisplayName': 'foodee_4c5ih3oq', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_4c5ih3oq', 'TotalReviews': 21, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_4c5ih3oq/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661897,[],0,0,False,False,False,272138,222,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661749,Gà Chỉ Sáu Cao,Gà ngon,1,đã bình luận,/Date(1687602028740)/,24/06/2023,Android,/ung-dung-mobile,2,True,False,201,0,10.0,,[],[],,"{'VerifyingPercent': 50, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '16', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46286748, 'Username': None, 'DisplayName': 'Đức Hà', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwck7gl2sv6ha8@resize_ss40x40', 'Url': '/thanh-vien/foodee_lkl3s9m9', 'TotalReviews': 16, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_lkl3s9m9/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661749,[],0,0,False,False,False,272138,201,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661647,Gà Chỉ Sáu Cao,Ngon ah,1,đã bình luận,/Date(1687600860623)/,24/06/2023,iPhone,/ung-dung-mobile,1,True,False,202,0,5.0,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '19', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46284360, 'Username': None, 'DisplayName': 'Chan', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_52277672', 'TotalReviews': 19, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_52277672/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661647,[],0,0,False,False,False,272138,202,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661532,Gà Chỉ Sáu Cao,"Thịt gà mềm, da giòn,  muối chấm rất ngon 👍👍",1,đã bình luận,/Date(1687599794700)/,24/06/2023,Android,/ung-dung-mobile,2,True,False,186,0,7.0,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '26', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46287893, 'Username': None, 'DisplayName': 'Vũ Xuyến', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_5i5f8xc7', 'TotalReviews': 26, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_5i5f8xc7/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661532,[],0,0,False,False,False,272138,186,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661379,Gà Chỉ Sáu Cao,Ngon và hấp dẫn ạ,1,đã bình luận,/Date(1687597440053)/,24/06/2023,Android,/ung-dung-mobile,2,True,False,205,0,10.0,,[],[],,"{'VerifyingPercent': 50, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '20', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46283320, 'Username': None, 'DisplayName': 'Hien Dương', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9wwj9tm7rvda@resize_ss40x40', 'Url': '/thanh-vien/foodee_zdnh70a5', 'TotalReviews': 20, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_zdnh70a5/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661379,[],0,0,False,False,False,272138,205,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661376,Gà Chỉ Sáu Cao,Chưa bao giờ m được món gà nào mà ngon ngọt như này nhất định sẽ có nhiều lần sau,1,đã bình luận,/Date(1687597415687)/,24/06/2023,Android,/ung-dung-mobile,2,True,False,196,0,7.2,,[],[],,"{'VerifyingPercent': 50, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '29', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46284915, 'Username': None, 'DisplayName': 'Thư Hồ', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9jn963l0wp27@resize_ss40x40', 'Url': '/thanh-vien/foodee_i5732fmd', 'TotalReviews': 29, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_i5732fmd/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661376,[],0,1,False,False,False,272138,196,False,False,"[{'User': {'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': None, 'TotalPicturesFormat': None, 'FollowStatus': None, 'IsSelf': False, 'Id': 46187471, 'Username': None, 'DisplayName': 'foodee_t4agyuht', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfep4set68p57@resize_ss40x40', 'Url': '/thanh-vien/foodee_t4agyuht', 'TotalReviews': 0, 'TotalPictures': 0, 'UrlReviews': '/thanh-vien/foodee_t4agyuht', 'UrlAlbums': '/thanh-vien/foodee_t4agyuht/hinh-anh', 'IsVerified': False, 'MobileCover': None}, 'Id': 579455, 'ParentId': None, 'Comment': 'Rất ngon v&#224; bổ dưỡng', 'ReviewID': 17661376, 'CreatedOn': '/Date(1687598583177)/', 'Date': '24/06/2023 16:23:03', 'UpdatedOn': None, 'IsOwner': False}]",True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661347,Gà Chỉ Sáu Cao,Gà thơm ngon trang trí đẹp mắt,1,đã bình luận,/Date(1687596985053)/,24/06/2023,iPhone,/ung-dung-mobile,1,True,False,173,0,8.8,,[],[],,"{'VerifyingPercent': 0, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '20', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 1012230742, 'Username': None, 'DisplayName': 'Thảo', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwwm6nf2a47v6b@resize_w40', 'Url': '/thanh-vien/foodee_on167fhu', 'TotalReviews': 20, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_on167fhu/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661347,[],0,0,False,False,False,272138,173,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
17661337,Gà Chỉ Sáu Cao,Rất ngon và đẹp mắt,1,đã bình luận,/Date(1687596785093)/,24/06/2023,iPhone,/ung-dung-mobile,1,True,False,193,0,10.0,,[],[],,"{'VerifyingPercent': 50, 'TrustPercent': 0, 'Rank': 0, 'Level': 'Newbee', 'Idx': 0, 'IsFollow': False, 'TotalReviewsFormat': '14', 'TotalPicturesFormat': '0', 'FollowStatus': None, 'IsSelf': False, 'Id': 46287581, 'Username': None, 'DisplayName': 'Hà Giang', 'Avatar': 'https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgi20von93v33@resize_ss40x40', 'Url': '/thanh-vien/foodee_9t639zw7', 'TotalReviews': 14, 'TotalPictures': 0, 'UrlReviews': None, 'UrlAlbums': '/thanh-vien/foodee_9t639zw7/hinh-anh', 'IsVerified': False, 'MobileCover': None}",,/binh-dinh/ga-chi-sau-cao/binh-luan-17661337,[],0,0,False,False,False,272138,193,False,False,[],True,,Foody,272138,Bình Định,N/A,2026-09-20 12:10:32
